2026-09-10T19:17:32+0200  server-tab-before-refresh.png  containers alive at capture: ['ac-database', 'ac-authserver', 'ac-worldserver']
2026-09-10T19:17:32+0200  server-tab-after-refresh.png  containers alive at capture: ['ac-database', 'ac-authserver', 'ac-worldserver']
2026-09-10T19:17:32+0200  console-tab-before-send.png  containers alive at capture: ['ac-database', 'ac-authserver', 'ac-worldserver']
2026-09-10T19:17:36+0200  console-tab-after-send.png  containers alive at capture: ['ac-database', 'ac-authserver', 'ac-worldserver']
2026-09-10T19:17:37+0200  accounts-tab-after-create.png  containers alive at capture: ['ac-database', 'ac-authserver', 'ac-worldserver']
2026-09-10T19:17:37+0200  networking-tab-before-plan.png  containers alive at capture: ['ac-database', 'ac-authserver', 'ac-worldserver']
2026-09-10T19:17:37+0200  networking-tab-after-plan.png  containers alive at capture: ['ac-database', 'ac-authserver', 'ac-worldserver']
2026-09-10T19:17:37+0200  maintenance-tab-after-refresh.png  containers alive at capture: ['ac-database', 'ac-authserver', 'ac-worldserver']
2026-09-10T19:17:38+0200  catalog-tiles-before-install-click.png  containers alive at capture: ['ac-database', 'ac-authserver', 'ac-worldserver']
2026-09-10T19:17:39+0200  modal-01-install-failed.png  containers alive at capture: ['ac-database', 'ac-authserver', 'ac-worldserver']
2026-09-10T19:17:39+0200  catalog-tiles-after-refusal.png  containers alive at capture: ['ac-database', 'ac-authserver', 'ac-worldserver']
2026-09-10T19:17:39+0200  log-panel-while-following.png  containers alive at capture: ['ac-database', 'ac-authserver', 'ac-worldserver']
2026-09-10T19:17:39+0200  log-panel-after-stop.png  containers alive at capture: ['ac-database', 'ac-authserver', 'ac-worldserver']
