utc,local,subdir,bytes,files,bytes_delta,files_delta,mb_per_s,files_per_s
2026-09-04T01:06:53Z,2026-09-03T18:06:53,src,415620398,5294,0,0,0,0
2026-09-04T01:06:53Z,2026-09-03T18:06:53,.,415634322,5302,0,0,0,0
2026-09-04T01:07:55Z,2026-09-03T18:07:55,src,415620398,5294,0,0,0,0
2026-09-04T01:07:55Z,2026-09-03T18:07:55,.,415634322,5302,0,0,0,0
2026-09-04T01:08:57Z,2026-09-03T18:08:57,src,415620398,5294,0,0,0,0
2026-09-04T01:08:57Z,2026-09-03T18:08:57,.,415634322,5302,0,0,0,0
2026-09-04T01:09:59Z,2026-09-03T18:09:59,src,415620398,5294,0,0,0,0
2026-09-04T01:09:59Z,2026-09-03T18:09:59,.,415634322,5302,0,0,0,0
2026-09-04T01:11:00Z,2026-09-03T18:11:00,src,415620398,5294,0,0,0,0
2026-09-04T01:11:00Z,2026-09-03T18:11:00,.,415634322,5302,0,0,0,0
2026-09-04T01:12:02Z,2026-09-03T18:12:02,src,415620398,5294,0,0,0,0
2026-09-04T01:12:02Z,2026-09-03T18:12:02,.,415634322,5302,0,0,0,0
2026-09-04T01:13:04Z,2026-09-03T18:13:04,src,415620398,5294,0,0,0,0
2026-09-04T01:13:04Z,2026-09-03T18:13:04,.,415634322,5302,0,0,0,0
2026-09-04T01:14:06Z,2026-09-03T18:14:06,src,415620398,5294,0,0,0,0
2026-09-04T01:14:06Z,2026-09-03T18:14:06,.,415634322,5302,0,0,0,0
2026-09-04T01:15:08Z,2026-09-03T18:15:08,src,415620398,5294,0,0,0,0
2026-09-04T01:15:08Z,2026-09-03T18:15:08,.,415634322,5302,0,0,0,0
2026-09-04T01:16:09Z,2026-09-03T18:16:09,src,415620398,5294,0,0,0,0
2026-09-04T01:16:09Z,2026-09-03T18:16:09,.,415634322,5302,0,0,0,0
2026-09-04T01:17:11Z,2026-09-03T18:17:11,src,415620398,5294,0,0,0,0
2026-09-04T01:17:11Z,2026-09-03T18:17:11,.,415634322,5302,0,0,0,0
2026-09-04T01:18:13Z,2026-09-03T18:18:13,src,415620398,5294,0,0,0,0
2026-09-04T01:18:13Z,2026-09-03T18:18:13,.,415634322,5302,0,0,0,0
2026-09-04T01:19:15Z,2026-09-03T18:19:15,src,415620398,5294,0,0,0,0
2026-09-04T01:19:15Z,2026-09-03T18:19:15,.,415634322,5302,0,0,0,0
2026-09-04T01:20:17Z,2026-09-03T18:20:17,src,415620398,5294,0,0,0,0
2026-09-04T01:20:17Z,2026-09-03T18:20:17,.,415634322,5302,0,0,0,0
2026-09-04T01:21:18Z,2026-09-03T18:21:18,src,415620398,5294,0,0,0,0
2026-09-04T01:21:18Z,2026-09-03T18:21:18,.,415634322,5302,0,0,0,0
2026-09-04T01:22:20Z,2026-09-03T18:22:20,src,415620398,5294,0,0,0,0
