2026-09-09T06:02:35+0200  wow-tbc-server-tab-before-refresh.png  containers alive at capture: ['tbc-db', 'tbc-realmd', 'tbc-mangosd']
2026-09-09T06:02:35+0200  wow-tbc-server-tab-after-refresh.png  containers alive at capture: ['tbc-db', 'tbc-realmd', 'tbc-mangosd']
2026-09-09T06:02:35+0200  wow-tbc-console-tab-before-send.png  containers alive at capture: ['tbc-db', 'tbc-realmd', 'tbc-mangosd']
2026-09-09T06:02:39+0200  wow-tbc-console-tab-after-send.png  containers alive at capture: ['tbc-db', 'tbc-realmd', 'tbc-mangosd']
2026-09-09T06:03:20+0200  wow-vanilla-server-tab-before-refresh.png  containers alive at capture: ['vanilla-db', 'vanilla-realmd', 'vanilla-mangosd']
2026-09-09T06:03:21+0200  wow-vanilla-server-tab-after-refresh.png  containers alive at capture: ['vanilla-db', 'vanilla-realmd', 'vanilla-mangosd']
2026-09-09T06:03:21+0200  wow-vanilla-console-tab-before-send.png  containers alive at capture: ['vanilla-db', 'vanilla-realmd', 'vanilla-mangosd']
2026-09-09T06:03:24+0200  wow-vanilla-console-tab-after-send.png  containers alive at capture: ['vanilla-db', 'vanilla-realmd', 'vanilla-mangosd']
2026-09-09T06:04:22+0200  wow-tortoise-server-tab-before-refresh.png  containers alive at capture: ['tortoise-db', 'tortoise-realmd', 'tortoise-mangosd']
2026-09-09T06:04:22+0200  wow-tortoise-server-tab-after-refresh.png  containers alive at capture: ['tortoise-db', 'tortoise-realmd', 'tortoise-mangosd']
2026-09-09T06:04:22+0200  wow-tortoise-console-tab-before-send.png  containers alive at capture: ['tortoise-db', 'tortoise-realmd', 'tortoise-mangosd']
2026-09-09T06:04:26+0200  wow-tortoise-console-tab-after-send.png  containers alive at capture: ['tortoise-db', 'tortoise-realmd', 'tortoise-mangosd']
