[19:18:04Z] watching; every line below is a CHANGE in what the tab would show
[19:18:04Z] up — 0 players, 500 bots, up 6m
[19:18:07Z] up — 0 players, 500 bots, up 7m
[19:19:07Z] up — 0 players, 500 bots, up 8m
[19:20:07Z] up — 0 players, 500 bots, up 9m
[19:21:06Z] up — 0 players, 500 bots, up 10m
[19:22:09Z] up — 0 players, 500 bots, up 11m
[19:23:09Z] up — 0 players, 500 bots, up 12m
[19:24:08Z] up — 0 players, 500 bots, up 13m
[19:25:08Z] up — 0 players, 500 bots, up 14m
[19:26:08Z] up — 0 players, 500 bots, up 15m
[19:26:48Z] up — 1 players, 500 bots, up 15m
[19:27:07Z] up — 1 players, 500 bots, up 16m
[19:28:07Z] up — 0 players, 500 bots, up 17m
[19:28:57Z] up — 1 players, 500 bots, up 17m
[19:29:07Z] up — 1 players, 500 bots, up 18m
[19:29:47Z] up — 0 players, 500 bots, up 18m
[19:30:06Z] up — 0 players, 500 bots, up 19m
