[20:32:58Z] watching; every line below is a CHANGE in what the tab would show
[20:32:58Z] up — 0 players, 0 bots, up 46s
[20:33:01Z] up — 0 players, 0 bots, up 49s
[20:33:04Z] up — 0 players, 0 bots, up 52s
[20:33:08Z] up — 0 players, 0 bots, up 56s
[20:33:11Z] up — 0 players, 9 bots, up 59s
[20:33:14Z] up — 0 players, 40 bots, up 1m
[20:33:17Z] up — 0 players, 70 bots, up 1m
[20:33:20Z] up — 0 players, 110 bots, up 1m
[20:33:23Z] up — 0 players, 140 bots, up 1m
[20:33:26Z] up — 0 players, 180 bots, up 1m
[20:33:29Z] up — 0 players, 210 bots, up 1m
[20:33:33Z] up — 0 players, 250 bots, up 1m
[20:33:36Z] up — 0 players, 280 bots, up 1m
[20:33:39Z] up — 0 players, 320 bots, up 1m
[20:33:42Z] up — 0 players, 350 bots, up 1m
[20:33:45Z] up — 0 players, 380 bots, up 1m
[20:33:48Z] up — 0 players, 420 bots, up 1m
[20:33:51Z] up — 0 players, 450 bots, up 1m
[20:33:54Z] up — 0 players, 480 bots, up 1m
[20:33:57Z] up — 0 players, 500 bots, up 1m
[20:34:13Z] up — 0 players, 500 bots, up 2m
[20:35:12Z] up — 0 players, 500 bots, up 3m
[20:35:37Z] up — 0 players, 499 bots, up 3m
[20:35:41Z] up — 0 players, 509 bots, up 3m
[20:36:12Z] up — 0 players, 508 bots, up 4m
[20:37:05Z] up — 0 players, 507 bots, up 4m
[20:37:08Z] up — 0 players, 506 bots, up 4m
[20:37:14Z] up — 0 players, 506 bots, up 5m
[20:38:13Z] up — 0 players, 506 bots, up 6m
[20:38:41Z] up — 0 players, 505 bots, up 6m
[20:38:51Z] up — 0 players, 504 bots, up 6m
[20:39:13Z] up — 0 players, 504 bots, up 7m
[20:40:09Z] up — 0 players, 503 bots, up 7m
[20:40:12Z] up — 0 players, 503 bots, up 8m
[20:40:15Z] up — 0 players, 502 bots, up 8m
[20:40:43Z] up — 0 players, 501 bots, up 8m
[20:41:14Z] up — 0 players, 501 bots, up 9m
[20:41:27Z] up — 0 players, 500 bots, up 9m
[20:41:55Z] up — 0 players, 499 bots, up 9m
[20:41:58Z] up — 0 players, 509 bots, up 9m
[20:42:14Z] up — 0 players, 509 bots, up 10m
[20:42:26Z] up — 0 players, 508 bots, up 10m
[20:43:13Z] up — 0 players, 508 bots, up 11m
[20:43:35Z] up — 0 players, 507 bots, up 11m
[20:43:57Z] up — 0 players, 506 bots, up 11m
[20:44:12Z] up — 0 players, 506 bots, up 12m
[20:44:47Z] up — 0 players, 505 bots, up 12m
[20:45:15Z] up — 0 players, 505 bots, up 13m
[20:45:30Z] up — 1 players, 504 bots, up 13m
[20:46:14Z] up — 1 players, 504 bots, up 14m
[20:47:13Z] up — 1 players, 504 bots, up 15m
[20:47:23Z] up — 1 players, 503 bots, up 15m
[20:47:29Z] up — 0 players, 503 bots, up 15m
