| reading                                |        ground | after refusal | after the race | after success |  after remove | after restore |
| -------------------------------------- | ------------- | ------------- | ------------- | ------------- | ------------- | ------------- |
| rows playercreateinfo                  |            62 |            62 |            62 |           100 |           100 |            62 |
| rows playercreateinfo_action           |           283 |           283 |           283 |           488 |           488 |           283 |
| rows playercreateinfo_skills           |            77 |            77 |            77 |            77 |            77 |            77 |
| rows playercreateinfo_spell_custom     |             0 |             0 |             0 |          7219 |          7219 |             0 |
| rows player_totem_model                |            20 |            20 |            20 |            40 |            40 |            20 |
| rows quest_template                    |          9464 |          9464 |          9464 |          9464 |          9464 |          9464 |
| checksum playercreateinfo              |    1375550933 |    1375550933 |    1375550933 |     773387713 |     773387713 |    1375550933 |
| checksum playercreateinfo_action       |    1810990106 |    1810990106 |    1810990106 |    3925301461 |    3925301461 |    1810990106 |
| checksum playercreateinfo_skills       |    1381324222 |    1381324222 |    1381324222 |    4287417897 |    4287417897 |    1381324222 |
| checksum playercreateinfo_spell_custom |             0 |             0 |             0 |     840767378 |     840767378 |             0 |
| checksum player_totem_model            |      58188735 |      58188735 |      58188735 |    3963586888 |    3963586888 |      58188735 |
| checksum quest_template                |    4127409649 |    4127409649 |    4127409649 |    1875883529 |    1875883529 |    4127409649 |
| skills_still_to_change                 |             5 |             5 |             5 |             0 |             0 |             5 |
| quests_still_to_change                 |           635 |           635 |           635 |             0 |             0 |           635 |
| quests_at_1791                         |            12 |            12 |            12 |           647 |           647 |            12 |
| totem_rows_for_arac_races              |             0 |             0 |             0 |            20 |            20 |             0 |
