# The updater's own output, recovered from the container that ran it (T4, round 2).
#
# `docker logs -t tortoise-mangosd` on container e716a18c5d8a -- created 2026-09-09T08:48:14Z by the
# reimport's own `compose up -d`, restarted 08:55:21Z for the channel press, exited 08:56:51Z and
# never recreated -- filtered to the `[DB Auto-Updater]` lines and the ready banner, nothing else
# changed. The file hashes are the updater's own (SHA1 of each file's bytes) and are not secrets.
# The install's generated database password does not occur anywhere in this container's log:
# `docker logs tortoise-mangosd | grep -c -F "$(cat .db_password)"` = 0, and no `…;3306;…` line
# exists in it either. So nothing here is redacted.
#
# TWO starts are in this file, and the timestamps separate them:
#   08:48-08:49  the reimport, against tw_world freshly imported from their base: 173 possible,
#                173 attempted, in name order, zero `failed to apply`.
#   08:55-08:56  the channel press restart: the same 173 possible, 0 attempted.
#
# `check-updater-order.sh` beside this file re-derives both claims from this transcript and from
# the file list inside the image, rather than asking anyone to count 173 lines by eye.
#
2026-09-09T08:48:16.632860720Z [DB Auto-Updater] Path doesn't contain auth updates, creating..
2026-09-09T08:48:16.634459849Z [DB Auto-Updater] No DB migrations found, table migrations is empty.
2026-09-09T08:48:16.634583273Z [DB Auto-Updater] Found 2 possible migrations for character.
2026-09-09T08:48:16.636403407Z [DB Auto-Updater] Found 173 possible migrations for world.
2026-09-09T08:48:17.022418927Z [DB Auto-Updater] No DB migrations found, table migrations is empty.
2026-09-09T08:48:17.022422323Z [DB Auto-Updater] Attempting to execute update 20260504194945_world, hash 3A7721175EEACB165E2C7BFA7C633B88F4D7C732.
2026-09-09T08:48:17.107416314Z [DB Auto-Updater] Attempting to execute update 20260504203644_world, hash C74A412BABA6A3436F71AA6D59BBEE209601888A.
2026-09-09T08:48:17.110608595Z [DB Auto-Updater] Attempting to execute update 20260504214035_world, hash 1569ACD2754F46C4676C6337444D8DC9D5969271.
2026-09-09T08:48:17.120166854Z [DB Auto-Updater] Attempting to execute update 20260505222630_world, hash 67B0100A999D8BE5A4D99DA4DC07ABEF8B38ADC7.
2026-09-09T08:48:18.306312424Z [DB Auto-Updater] Attempting to execute update 20260506204945_world, hash 04007403CADB29927F0BD1FE1F38606873BDCD96.
2026-09-09T08:48:18.313482492Z [DB Auto-Updater] Attempting to execute update 20260507165648_world, hash C818696DC745948706DE58E116A8486EA72A69D5.
2026-09-09T08:48:18.930430628Z [DB Auto-Updater] Attempting to execute update 20260507184157_world, hash EFA9A1ECC92C2249A60EE892AC953FD4B0CD7C3F.
2026-09-09T08:48:19.020987520Z [DB Auto-Updater] Attempting to execute update 20260507191316_world, hash 70BE21F7D9B4AB14C591D0F1BA229A3F9EDD7124.
2026-09-09T08:48:19.024575930Z [DB Auto-Updater] Attempting to execute update 20260508064255_world, hash 6CC2C0D303A25EEAF115DFFA39167EA80CFAE0C4.
2026-09-09T08:48:19.174411227Z [DB Auto-Updater] Attempting to execute update 20260508192404_world, hash F0B6D70A0323662F06251B361C292861B470A98F.
2026-09-09T08:48:19.499000077Z [DB Auto-Updater] Attempting to execute update 20260509055406_world, hash 8F68BBDFEA6DC02ED5E942E5DC4A12D8758BBB98.
2026-09-09T08:48:19.705598938Z [DB Auto-Updater] Attempting to execute update 20260510092659_world, hash B0FF0FF0372B8A71A1CD44B5F09C8028C74025A1.
2026-09-09T08:48:20.177506626Z [DB Auto-Updater] Attempting to execute update 20260511053220_world, hash 741C36C71BFE82857C246D4C9C52C463C26276EA.
2026-09-09T08:48:23.043006834Z [DB Auto-Updater] Attempting to execute update 20260511154529_world, hash 468B56625407184FC65949860B632406DC2FDD82.
2026-09-09T08:48:23.804494794Z [DB Auto-Updater] Attempting to execute update 20260511164918_world, hash 373E9E345DA970C37A486114EB8E98615243B8D8.
2026-09-09T08:48:23.908916045Z [DB Auto-Updater] Attempting to execute update 20260511211643_world, hash FF9402BAF43F9E322611A514619D6E3A97912DF1.
2026-09-09T08:48:24.030504748Z [DB Auto-Updater] Attempting to execute update 20260512033310_world, hash 881E0DEAF3190E32D14B2686279C0865F88507D0.
2026-09-09T08:48:24.033827007Z [DB Auto-Updater] Attempting to execute update 20260512130432_world, hash 5D14F21596D214B72772B512BAC75A8FFA921E34.
2026-09-09T08:48:24.091244280Z [DB Auto-Updater] Attempting to execute update 20260512224739_world, hash F7EE237C4B59D15745B880E42CE938D767F7865A.
2026-09-09T08:48:24.098796096Z [DB Auto-Updater] Attempting to execute update 20260513084003_world, hash 9FF0F3F44DB9D1483397D537CC6A997C37DB1CE8.
2026-09-09T08:48:24.290519035Z [DB Auto-Updater] Attempting to execute update 20260513094906_world, hash D8150400484D58B8224B8B59837C998437DD8312.
2026-09-09T08:48:24.294190793Z [DB Auto-Updater] Attempting to execute update 20260513233443_world, hash 7B68DC550961DFBDB3D2027894078C237E514B40.
2026-09-09T08:48:24.351547731Z [DB Auto-Updater] Attempting to execute update 20260514011114_world, hash 5B5C410F7CCE60FF017AA47FFE38C437565ECB8A.
2026-09-09T08:48:24.376686912Z [DB Auto-Updater] Attempting to execute update 20260514035236_world, hash 02520FA1C5CE3D441D3B6E7AFB71B44C9F4CA0DC.
2026-09-09T08:48:24.385807615Z [DB Auto-Updater] Attempting to execute update 20260516050606_world, hash 224B173C8766714666659F9B246379F922CA7C68.
2026-09-09T08:48:24.421608121Z [DB Auto-Updater] Attempting to execute update 20260516210743_world, hash 1B9F4DF4AFC1D2AAEA30D18ACBDC1C7155C419D3.
2026-09-09T08:48:24.594490655Z [DB Auto-Updater] Attempting to execute update 20260517045535_world, hash F7999363B429BCCA3E91EBE511857A181D6F92D8.
2026-09-09T08:48:24.659249371Z [DB Auto-Updater] Attempting to execute update 20260517062330_world, hash 65D6B0CC5B61494A8E1C934C21931D8B0F0DF7FF.
2026-09-09T08:48:24.664496923Z [DB Auto-Updater] Attempting to execute update 20260517101017_world, hash BB29C77A64C917B9E21974814E073B233894438B.
2026-09-09T08:48:24.667804449Z [DB Auto-Updater] Attempting to execute update 20260517121832_world, hash AFD34542A36ECAE29D1DB6417DDC0C7A2A3E492F.
2026-09-09T08:48:24.669468370Z [DB Auto-Updater] Attempting to execute update 20260518050203_world, hash A01DFD68DC2D6829AE2ACC1E3E66829580B848BC.
2026-09-09T08:48:24.691559378Z [DB Auto-Updater] Attempting to execute update 20260522141111_world, hash D26C1A0B340BD0BD25FF78082DEE93404063E5FA.
2026-09-09T08:48:24.695538750Z [DB Auto-Updater] Attempting to execute update 20260523041131_world, hash E8B2FB27A7ED9ABD53B4A1CBA89F233A4E65CDB7.
2026-09-09T08:48:24.698604719Z [DB Auto-Updater] Attempting to execute update 20260526123433_world, hash 48CAD01F1D6DBB088F3351DCA71EB6A1415ABC94.
2026-09-09T08:48:24.707589750Z [DB Auto-Updater] Attempting to execute update 20260526134500_world, hash 2A6E7F4220604F050737E9929190AA2163681F42.
2026-09-09T08:48:24.711327217Z [DB Auto-Updater] Attempting to execute update 20260527120000_world, hash 40A5660CC5689AD933BC66D04C629491580C0692.
2026-09-09T08:48:24.713491797Z [DB Auto-Updater] Attempting to execute update 20260528150633_world, hash 4FB9DFD7B244A3AA3982B7C01FD6B2E2BC3516E3.
2026-09-09T08:48:25.220638071Z [DB Auto-Updater] Attempting to execute update 20260529182210_world, hash F792E8A69507999E96B64E7A10319B0BB01858DB.
2026-09-09T08:48:25.256824325Z [DB Auto-Updater] Attempting to execute update 20260530203924_world, hash E26855EBF4AE39D2F24F079BD1812E3185CC0D41.
2026-09-09T08:48:25.626925827Z [DB Auto-Updater] Attempting to execute update 20260602180159_world, hash 84119DB44EE93221A4D39A118903B9F41475EAC7.
2026-09-09T08:48:25.652371277Z [DB Auto-Updater] Attempting to execute update 20260603094447_world, hash 4EAB62674581B3C22C3CE5ECCC79971A2F77C071.
2026-09-09T08:48:25.713914095Z [DB Auto-Updater] Attempting to execute update 20260604214927_world, hash CB988796B8F4893B111B77A266F7BC7FA8BD4CB2.
2026-09-09T08:48:25.745035491Z [DB Auto-Updater] Attempting to execute update 20260604222044_world, hash 1E165FDF08D7306DCD52BEA13D1AAD46115F311E.
2026-09-09T08:48:25.760453184Z [DB Auto-Updater] Attempting to execute update 20260605181338_world, hash AA31C21AA4F326B1C8E46CE4E590DE33B02B1581.
2026-09-09T08:48:25.888166044Z [DB Auto-Updater] Attempting to execute update 20260606120000_world, hash 27B26DC8449CF2557B0CB3529A3A75D3F86D93B7.
2026-09-09T08:48:25.889571527Z [DB Auto-Updater] Attempting to execute update 20260606142438_world, hash 048D7E6887538E1A2ADC06EE95EB49AAEE489C20.
2026-09-09T08:48:25.893323730Z [DB Auto-Updater] Attempting to execute update 20260608174707_world, hash 1B352221C5710B28F075FDFB846FB488F30CAAF7.
