"runId","label","backend","phase","sampleIndex","elapsedSec","timestampUtc","machineInUseMB","machineCommittedMB","machineAvailableMB","vmPresent","vmWorkingSetMB","vmPrivateMB","vmGeneration","desktopWinWsMB","desktopProcs","wslPlumbingWsMB","distrosRunning","portsOpen","dockerImagesGB","dockerBuildCacheGB","acContainersRunning","readyMarkerSec","readyTcpSec","botsOnlineReported","preconditionsOk","forced","note"
"run1-desktop-off-20260805T091652Z","run1","desktop","off","1","0","2026-08-05T09:18:01.0580764Z","24815,5","39561,8","7121","False","0","0","","0","0","25,1","","","","","","","","-1","True","False","A0 clean off baseline; both distros Stopped, Docker Desktop fully exited"
"run1-desktop-engine-20260805T092005Z","run1","desktop","engine","1","0","2026-08-05T09:21:14.0911548Z","27613,5","43368,2","4323","True","2233","2302,3","vmmemWSL#583144@","586,5","8","121,9","docker-desktop","","","","","","","-1","True","False","A1 engine up, zero containers exist (stack was down, nothing auto-restarted)"
"run1-desktop-server-20260805T092944Z","run1","desktop","server","1","0","2026-08-05T09:31:49.8922012Z","31687,5","50442,8","249","True","8199,4","9494,7","vmmemWSL#583144@","551,8","8","120,4","docker-desktop","3724+7878+3306+8085","9,9","0","3","","","100","True","False","A3 server up, world-ready, bot population plateaued at 100 online since T0+122s"
"run1-desktop-disk-20260805T093212Z","run1","desktop","disk","1","0","2026-08-05T09:32:22.6477349Z","31601,5","50509,7","335","True","8158,9","9521,8","vmmemWSL#583144@","552,7","8","120,4","docker-desktop","3724+7878+3306+8085","9,9","0","3","","","-1","True","False","A4 disk, engine + server up"
"run1-desktop-stopped-20260805T093302Z","run1","desktop","stopped","1","0","2026-08-05T09:33:40.4583895Z","27352,5","45729,7","4584","True","4426,5","4731,2","vmmemWSL#583144@","557,2","8","120,3","docker-desktop","","","","","","","-1","True","False","A5 server down via compose down (6.5s), engine still up"
"run1-desktop-stopped-20260805T093302Z","run1","desktop","stopped","2","30","2026-08-05T09:34:15.0277678Z","27367,5","45739,9","4569","True","4419,8","4724,4","vmmemWSL#583144@","559,9","8","120,3","docker-desktop","","","","","","","-1","True","False","A5 server down via compose down (6.5s), engine still up"
"run1-desktop-stopped-20260805T093302Z","run1","desktop","stopped","3","60","2026-08-05T09:34:49.5618736Z","27381,5","45750,6","4555","True","4394,5","4739,2","vmmemWSL#583144@","559,9","8","120,3","docker-desktop","","","","","","","-1","True","False","A5 server down via compose down (6.5s), engine still up"
"run1-desktop-stopped-20260805T093302Z","run1","desktop","stopped","4","90","2026-08-05T09:35:24.1549527Z","27332,5","45694,8","4604","True","4387,6","4696,3","vmmemWSL#583144@","548,6","8","120,4","docker-desktop","","","","","","","-1","True","False","A5 server down via compose down (6.5s), engine still up"
"run1-desktop-stopped-20260805T093302Z","run1","desktop","stopped","5","120","2026-08-05T09:35:58.7586360Z","27343,5","45700,4","4593","True","4375,8","4709,6","vmmemWSL#583144@","548,8","8","120,4","docker-desktop","","","","","","","-1","True","False","A5 server down via compose down (6.5s), engine still up"
"run1-desktop-stopped-20260805T093302Z","run1","desktop","stopped","6","150","2026-08-05T09:36:33.3132755Z","27306,5","45668,9","4630","True","4292,4","4679,8","vmmemWSL#583144@","558,3","8","120,4","docker-desktop","","","","","","","-1","True","False","A5 server down via compose down (6.5s), engine still up"
"run1-arch-off-20260805T093902Z","run1","arch","off","1","0","2026-08-05T09:40:40.3814485Z","22210,5","39418,8","9726","False","0","0","","0","0","25,7","","","","","","","","-1","True","False","C0 arch off baseline, taken after the mandatory wsl --shutdown crossing"
"run1-arch-engine-20260805T094743Z","run1","arch","engine","1","0","2026-08-05T09:48:51.8668231Z","23992,5","41618,1","7944","True","1393,1","1460,7","vmmemWSL#584808@","0","0","91,5","dml-arch","","","","","","","-1","True","False","C1 dockerd up under systemd, zero containers. NB the distro does NOT stay up on its own (measured: torn down <20s after the last wsl client exits), so a `sleep 420` holder was run inside it to hold this state open for the sample; that holder is ~1 process inside the VM plus one wsl.exe on Windows."
"run1-arch-server-20260805T100038Z","run1","arch","server","1","0","2026-08-05T10:05:44.5302028Z","31668,5","50232,4","268","True","9933,1","10140,6","vmmemWSL#584808@","0","0","92,8","dml-arch","3724+7878+8085","3,495","70,75","3","","","1948","True","False","C3 server up, 1948 bots online (plateaued). WORKLOAD NOT COMPARABLE TO DESKTOP (100 bots): this server is configured 1600-2000 via the override AC_AI_PLAYERBOT_MIN/MAX_RANDOM_BOTS. Sampled at T0+575s from the container start, matching the desktop protocol point. Distro held open by a sleep holder - WSL force-terminated it once mid-run with the server live."
"run1-arch-disk-20260805T100620Z","run1","arch","disk","1","0","2026-08-05T10:06:31.5472066Z","31604,5","50304,2","332","True","9963,9","10191,3","vmmemWSL#584808@","0","0","93,2","dml-arch","3724+7878+8085","3,495","70,75","3","","","-1","True","False","C4 disk, distro + server up"
"run1-arch-stopped-20260805T100719Z","run1","arch","stopped","1","0","2026-08-05T10:07:57.3659054Z","25696,5","44524,3","6240","True","4018,6","4372,6","vmmemWSL#584808@","0","0","92,7","dml-arch","","","","","","","-1","True","False","C5 server down via compose down (12.6s), distro + dockerd still up (held open by the sleep holder)"
